epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0565,1.0139,0.9979,1.61469,0.36633,0.3673,0.30888,0.15666,1.85632,3.42798,2.79343,0.000271263,0.000271263,0.000271263
2,182.493,1.06092,1.09463,1.68731,0.44358,0.29435,0.32662,0.16879,1.83472,3.35132,2.80339,0.000532362,0.000532362,0.000532362
3,270.214,1.12322,1.22958,1.74054,0.41462,0.37067,0.34121,0.15948,1.95106,3.01885,2.82918,0.000782688,0.000782688,0.000782688
4,357.548,1.17336,1.28808,1.8032,0.41648,0.36428,0.32886,0.16307,1.81223,2.98936,2.61155,0.000854964,0.000854964,0.000854964
5,444.949,1.17259,1.30335,1.78958,0.4154,0.32375,0.3317,0.15978,1.87741,2.98441,2.6952,0.000836952,0.000836952,0.000836952
6,532.168,1.13627,1.25034,1.77931,0.40571,0.33801,0.30142,0.1458,1.96917,3.1604,2.8735,0.00081894,0.00081894,0.00081894
7,619.588,1.16655,1.2741,1.78834,0.35833,0.40336,0.3375,0.16747,1.87938,2.96815,2.7781,0.000800928,0.000800928,0.000800928
8,707.101,1.14937,1.23253,1.77131,0.38706,0.36949,0.34439,0.17423,1.81608,3.04781,2.68253,0.000782916,0.000782916,0.000782916
9,794.59,1.11785,1.18684,1.72137,0.36289,0.35948,0.3186,0.16061,1.88154,3.18182,2.76817,0.000764904,0.000764904,0.000764904
10,881.977,1.09198,1.15472,1.73502,0.37118,0.3438,0.33241,0.16241,1.91522,2.89315,2.83151,0.000746892,0.000746892,0.000746892
11,969.241,1.10079,1.16454,1.74277,0.46953,0.32515,0.31217,0.1414,1.97536,3.17152,2.83804,0.00072888,0.00072888,0.00072888
12,1056.4,1.10587,1.13761,1.72197,0.39166,0.3328,0.32931,0.16466,1.88724,3.29859,2.79798,0.000710868,0.000710868,0.000710868
13,1143.68,1.06982,1.09475,1.711,0.40325,0.33647,0.32031,0.16698,1.89943,3.20007,2.85066,0.000692856,0.000692856,0.000692856
14,1231.07,1.06297,1.11608,1.69307,0.36773,0.38464,0.32167,0.16545,1.9071,3.14672,2.77818,0.000674844,0.000674844,0.000674844
15,1318.37,1.03263,1.03174,1.67737,0.45809,0.32681,0.32089,0.16088,1.96781,3.25092,2.92169,0.000656832,0.000656832,0.000656832
16,1405.55,1.03794,1.0343,1.67351,0.46234,0.32835,0.33328,0.15819,1.92318,2.95892,2.93161,0.00063882,0.00063882,0.00063882
17,1492.44,1.01714,1.00477,1.66739,0.35826,0.36534,0.31899,0.16583,1.91749,3.13102,2.88253,0.000620808,0.000620808,0.000620808
18,1571.96,1.00276,0.97007,1.61881,0.38788,0.35444,0.32314,0.16047,1.92315,3.36232,2.92738,0.000602796,0.000602796,0.000602796
19,1651.36,1.00353,0.97721,1.65557,0.36652,0.3616,0.32103,0.1662,1.86598,3.30979,2.8529,0.000584784,0.000584784,0.000584784
