epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.0614,2.08807,9.47728,2.62097,0.69272,0.12647,0.1282,0.05659,1.9092,3.41784,2.57906,0.000302333,0.000302333,0.000302333
2,176.707,1.90686,4.27152,2.49493,0.76189,0.1509,0.18857,0.09167,1.82695,3.47775,2.54428,0.000595345,0.000595345,0.000595345
3,258.791,1.93971,3.65226,2.60669,0.30961,0.25413,0.24544,0.11087,1.85688,2.93825,2.68854,0.000878358,0.000878358,0.000878358
4,342.943,1.9302,3.28981,2.59778,0.49646,0.22995,0.25412,0.10763,1.93464,2.92404,2.61463,0.000864004,0.000864004,0.000864004
5,425.015,1.9154,3.11933,2.62262,0.4465,0.26152,0.24388,0.10781,1.9983,2.82792,2.75473,0.000849006,0.000849006,0.000849006
6,506.699,1.89312,2.99293,2.61415,0.21699,0.26259,0.23158,0.11032,1.99384,2.86321,2.73119,0.000834007,0.000834007,0.000834007
7,588.802,1.85417,2.80508,2.58005,0.388,0.32041,0.27606,0.13102,1.92056,2.66265,2.68076,0.000819009,0.000819009,0.000819009
8,671.015,1.83826,2.7246,2.59658,0.37509,0.32806,0.29884,0.13204,1.90757,2.94039,2.84971,0.00080401,0.00080401,0.00080401
9,753.17,1.82954,2.64427,2.61107,0.39762,0.39866,0.34413,0.15284,1.86952,2.51371,2.75351,0.000789012,0.000789012,0.000789012
10,835.805,1.79973,2.51136,2.59166,0.32761,0.36522,0.30236,0.14563,1.94482,2.66145,2.78976,0.000774013,0.000774013,0.000774013
11,917.963,1.80716,2.45681,2.59752,0.3677,0.34894,0.34301,0.16764,1.91324,2.51003,2.80031,0.000759015,0.000759015,0.000759015
12,999.769,1.77964,2.39833,2.59711,0.39956,0.33992,0.36472,0.16964,1.90339,2.44731,2.77551,0.000744016,0.000744016,0.000744016
13,1082.04,1.74961,2.30723,2.60355,0.36817,0.30604,0.31991,0.15914,1.86873,2.55866,2.75475,0.000729018,0.000729018,0.000729018
14,1164.18,1.75675,2.31442,2.56967,0.33535,0.3431,0.3111,0.15851,1.94962,2.55065,2.86764,0.000714019,0.000714019,0.000714019
15,1245.45,1.71241,2.17182,2.56362,0.33291,0.37648,0.33055,0.15318,1.90976,2.53225,2.83423,0.000699021,0.000699021,0.000699021
16,1327.42,1.71223,2.15017,2.50829,0.3849,0.36366,0.35802,0.16499,1.91801,2.47664,2.84027,0.000684022,0.000684022,0.000684022
17,1409.03,1.71207,2.07465,2.57547,0.37853,0.37477,0.35978,0.16444,1.89608,2.57118,2.81803,0.000669024,0.000669024,0.000669024
18,1491.53,1.67983,1.99208,2.54112,0.42912,0.3483,0.32783,0.15573,1.90206,2.55482,2.8465,0.000654025,0.000654025,0.000654025
19,1573.25,1.64427,1.97043,2.50454,0.3811,0.40243,0.35521,0.17064,1.94608,2.59799,2.96144,0.000639027,0.000639027,0.000639027
20,1654.93,1.63794,1.8964,2.46642,0.38813,0.41066,0.37144,0.17284,1.93861,2.40123,2.88283,0.000624028,0.000624028,0.000624028
21,1745.16,1.61412,1.84559,2.4509,0.34761,0.43737,0.36288,0.16792,1.92819,2.44975,2.84303,0.00060903,0.00060903,0.00060903
22,1827.13,1.61152,1.82372,2.44129,0.42212,0.33402,0.33686,0.15812,1.8924,2.48922,2.86688,0.000594031,0.000594031,0.000594031
23,1908.49,1.56084,1.73145,2.42981,0.46401,0.34672,0.35294,0.17034,2.00251,2.49325,2.98654,0.000579033,0.000579033,0.000579033
24,1991.94,1.55735,1.7017,2.41258,0.33336,0.38874,0.327,0.15636,1.94476,2.61789,2.93369,0.000564034,0.000564034,0.000564034
25,2075.22,1.56217,1.66015,2.42117,0.365,0.43294,0.37587,0.18362,1.96498,2.48924,2.84118,0.000549036,0.000549036,0.000549036
26,2156.95,1.5369,1.65205,2.37405,0.34333,0.46335,0.34027,0.16677,1.91482,2.59544,2.80173,0.000534037,0.000534037,0.000534037
27,2238.17,1.52162,1.61539,2.3593,0.43081,0.36415,0.35851,0.17452,1.97689,2.70064,2.9088,0.000519039,0.000519039,0.000519039
28,2320.01,1.48887,1.53653,2.34153,0.38005,0.41393,0.35952,0.17146,1.99232,2.53703,2.91988,0.00050404,0.00050404,0.00050404
29,2401.53,1.46198,1.48396,2.30032,0.36447,0.38381,0.33808,0.15675,2.04239,2.57639,2.98943,0.000489042,0.000489042,0.000489042
30,2482.76,1.46477,1.47601,2.29954,0.42436,0.41054,0.37103,0.16318,1.98621,2.58965,2.90052,0.000474043,0.000474043,0.000474043
31,2564.63,1.45447,1.42738,2.29191,0.40862,0.37871,0.35882,0.16588,1.96296,2.66892,2.90981,0.000459045,0.000459045,0.000459045
32,2650.83,1.41986,1.42288,2.27206,0.47697,0.36832,0.36263,0.17372,1.969,2.57471,2.95851,0.000444046,0.000444046,0.000444046
33,2732.55,1.41694,1.3809,2.25359,0.38946,0.41894,0.35025,0.16842,1.96309,2.47165,2.951,0.000429048,0.000429048,0.000429048
34,2814.22,1.38453,1.37069,2.23243,0.36194,0.33626,0.3152,0.16668,1.90187,2.62375,2.87121,0.000414049,0.000414049,0.000414049
35,2896.85,1.38032,1.30378,2.20252,0.35596,0.40836,0.32136,0.16171,1.98692,2.67188,2.91463,0.000399051,0.000399051,0.000399051
36,2979.01,1.3843,1.29288,2.22372,0.41546,0.44271,0.3584,0.17827,1.95477,2.57855,2.99049,0.000384052,0.000384052,0.000384052
37,3060.43,1.35721,1.27691,2.16884,0.4425,0.36776,0.34571,0.16696,2.00191,2.65935,2.9429,0.000369054,0.000369054,0.000369054
38,3142.3,1.3374,1.23641,2.15507,0.46098,0.43543,0.37956,0.18919,2.00284,2.6178,2.9816,0.000354055,0.000354055,0.000354055
39,3225.47,1.32392,1.18343,2.15517,0.46392,0.40384,0.36353,0.17453,2.02032,2.64521,3.06624,0.000339057,0.000339057,0.000339057
40,3307.33,1.29218,1.15149,2.11188,0.38428,0.40469,0.35809,0.17275,1.99411,2.70128,3.01319,0.000324058,0.000324058,0.000324058
41,3388.66,1.31956,1.18854,2.15814,0.36151,0.3969,0.337,0.17188,1.9462,2.76284,2.92102,0.00030906,0.00030906,0.00030906
42,3470.84,1.30353,1.15583,2.10119,0.37695,0.36053,0.33101,0.16631,2.00242,2.74225,3.11562,0.000294061,0.000294061,0.000294061
43,3551.71,1.28203,1.13508,2.11072,0.46123,0.29753,0.33054,0.1719,1.97223,2.82833,3.00152,0.000279063,0.000279063,0.000279063
44,3631.65,1.24988,1.08964,2.04984,0.39499,0.36954,0.31685,0.15259,2.022,2.84894,3.06406,0.000264064,0.000264064,0.000264064
45,3711.82,1.23739,1.07208,2.05215,0.38204,0.40894,0.33573,0.17013,2.03474,2.74825,3.06022,0.000249066,0.000249066,0.000249066
46,3791.95,1.23456,1.05243,2.04964,0.39443,0.37693,0.34313,0.17233,2.02897,2.75113,3.08203,0.000234068,0.000234068,0.000234068
47,3871.97,1.22628,1.0783,2.02037,0.39287,0.40572,0.35407,0.17725,2.02471,2.71139,3.02801,0.000219069,0.000219069,0.000219069
48,3952.16,1.2042,1.03669,2.01436,0.38311,0.40313,0.35779,0.17797,2.0231,2.6861,3.08142,0.00020407,0.00020407,0.00020407
49,4032.27,1.20076,1.01586,1.99245,0.38916,0.39957,0.35374,0.17124,2.03136,2.8962,3.05827,0.000189072,0.000189072,0.000189072
50,4112.25,1.16836,0.96866,1.95265,0.50744,0.35095,0.36058,0.17398,2.0199,2.95402,3.04239,0.000174074,0.000174074,0.000174074
51,4192.73,1.03834,0.77464,1.8933,0.39869,0.42463,0.35408,0.17356,2.03392,2.8962,3.04275,0.000159075,0.000159075,0.000159075
52,4272.12,1.00679,0.70684,1.85014,0.49698,0.34371,0.34856,0.16956,2.03297,2.97009,3.11819,0.000144077,0.000144077,0.000144077
53,4351.54,0.97623,0.67147,1.84222,0.40508,0.33019,0.34874,0.16554,2.01235,2.99936,3.12667,0.000129078,0.000129078,0.000129078
54,4431.14,0.96043,0.66597,1.81189,0.43124,0.32983,0.34462,0.16931,1.99707,3.05065,3.06254,0.00011408,0.00011408,0.00011408
55,4510.56,0.9507,0.64725,1.79943,0.45201,0.34929,0.34973,0.17282,2.00847,3.09145,3.05824,9.9081e-05,9.9081e-05,9.9081e-05
56,4590.5,0.92529,0.61731,1.75151,0.45661,0.33217,0.35569,0.18098,1.98427,3.04429,3.07448,8.40825e-05,8.40825e-05,8.40825e-05
57,4671.81,0.91844,0.60914,1.75976,0.47894,0.32583,0.36712,0.18436,1.97859,3.09697,3.0514,6.9084e-05,6.9084e-05,6.9084e-05
58,4753.33,0.90529,0.5952,1.71388,0.45584,0.33612,0.35784,0.17716,2.01435,3.11645,3.09837,5.40855e-05,5.40855e-05,5.40855e-05
59,4834.33,0.89923,0.59874,1.69891,0.47056,0.3555,0.36258,0.17714,2.01321,3.09508,3.11659,3.9087e-05,3.9087e-05,3.9087e-05
60,4915.32,0.90384,0.58783,1.73103,0.45755,0.35172,0.36646,0.17556,2.03008,3.07699,3.14032,2.40885e-05,2.40885e-05,2.40885e-05
