epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.706,1.05001,1.07642,1.7087,0.36526,0.3443,0.30946,0.14687,1.8932,3.467,2.98601,0.000324234,0.000324234,0.000324234
2,181.711,1.09495,1.16471,1.76224,0.42081,0.37074,0.31737,0.16559,1.88305,3.13118,2.85868,0.00063632,0.00063632,0.00063632
3,269.246,1.17939,1.29204,1.85043,0.30052,0.38617,0.32509,0.15259,1.8994,3.05105,2.78279,0.000872976,0.000872976,0.000872976
4,356.629,1.20554,1.3492,1.88232,0.32494,0.43196,0.33671,0.15549,1.91572,2.99641,2.87978,0.000854963,0.000854963,0.000854963
5,444.048,1.19218,1.35225,1.85676,0.48794,0.293,0.32489,0.14501,1.93429,3.38475,2.95801,0.000836951,0.000836951,0.000836951
6,531.304,1.18069,1.32336,1.86777,0.39188,0.32305,0.29318,0.15119,1.91917,3.17354,2.80284,0.000818939,0.000818939,0.000818939
7,618.634,1.16932,1.27566,1.84474,0.33673,0.36516,0.30773,0.14294,2.0087,3.04025,3.09307,0.000800927,0.000800927,0.000800927
8,706.028,1.16079,1.26937,1.85212,0.36932,0.42011,0.31779,0.15689,1.87391,3.07439,2.87186,0.000782915,0.000782915,0.000782915
9,793.331,1.15054,1.23705,1.81314,0.30174,0.39377,0.30817,0.15878,1.84807,3.17958,2.7674,0.000764902,0.000764902,0.000764902
10,880.574,1.10867,1.16523,1.80159,0.30842,0.41459,0.3237,0.13961,1.97059,3.05159,3.1173,0.00074689,0.00074689,0.00074689
11,968.035,1.13203,1.18606,1.8047,0.39614,0.29639,0.29539,0.15117,1.90688,3.44854,2.93615,0.000728878,0.000728878,0.000728878
12,1055.37,1.11377,1.18807,1.79016,0.38276,0.3926,0.33475,0.16207,1.99858,3.1167,3.00774,0.000710866,0.000710866,0.000710866
13,1142.6,1.08806,1.11191,1.78391,0.36874,0.30771,0.28801,0.13778,1.95433,3.41891,2.9198,0.000692854,0.000692854,0.000692854
