epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.2249,0.70373,1.16421,1.71566,0.37154,0.36002,0.33335,0.16486,1.21572,2.99486,2.88715,0.000221029,0.000221029,0.000221029
2,182.903,0.71857,1.16917,1.72764,0.37828,0.37578,0.31936,0.15631,1.16801,3.01121,2.83989,0.000433763,0.000433763,0.000433763
3,270.637,0.76261,1.2693,1.80113,0.36701,0.3297,0.30231,0.14893,1.20371,3.00873,2.91802,0.000637705,0.000637705,0.000637705
4,358.059,0.78976,1.33556,1.8321,0.38732,0.33694,0.32225,0.14872,1.20979,2.87789,2.9888,0.000832855,0.000832855,0.000832855
5,445.491,0.79803,1.35838,1.86397,0.31765,0.43813,0.32649,0.1475,1.2129,2.80689,2.86444,0.000836841,0.000836841,0.000836841
6,532.644,0.78678,1.37593,1.86015,0.48212,0.31568,0.33396,0.15519,1.21697,2.94334,2.80005,0.000818802,0.000818802,0.000818802
7,619.865,0.78028,1.29232,1.83201,0.36336,0.35236,0.30951,0.14466,1.25302,2.95786,3.02575,0.000800762,0.000800762,0.000800762
8,707.271,0.7908,1.32944,1.8547,0.46576,0.37866,0.32404,0.15346,1.25385,2.85152,2.84437,0.000782722,0.000782722,0.000782722
9,794.47,0.78946,1.28652,1.85707,0.40451,0.33254,0.33248,0.16419,1.20272,3.10796,2.79074,0.000764683,0.000764683,0.000764683
10,881.679,0.76979,1.25666,1.82355,0.44554,0.31319,0.33305,0.15677,1.22807,3.05187,2.97524,0.000746643,0.000746643,0.000746643
11,968.95,0.76064,1.21639,1.80156,0.35426,0.33088,0.3094,0.14154,1.24536,3.09938,2.92934,0.000728603,0.000728603,0.000728603
12,1056.09,0.7598,1.24091,1.79946,0.37134,0.35859,0.30379,0.14519,1.26365,2.98592,2.98423,0.000710564,0.000710564,0.000710564
13,1143.3,0.7544,1.18369,1.81616,0.44557,0.3256,0.32565,0.16083,1.2503,2.99373,3.02636,0.000692524,0.000692524,0.000692524
14,1230.68,0.7378,1.16358,1.77399,0.46493,0.30805,0.33801,0.15889,1.19949,3.10413,2.86217,0.000674485,0.000674485,0.000674485
15,1317.76,0.7343,1.13182,1.77478,0.42518,0.32842,0.32504,0.16621,1.20343,2.98323,2.85849,0.000656445,0.000656445,0.000656445
16,1405.19,0.72427,1.09601,1.74918,0.47009,0.28561,0.31943,0.15191,1.23027,3.1779,2.87807,0.000638405,0.000638405,0.000638405
17,1492.3,0.72119,1.08967,1.75151,0.38866,0.40345,0.31926,0.15989,1.19594,3.12032,2.86114,0.000620366,0.000620366,0.000620366
18,1579.46,0.7116,1.05093,1.71787,0.49061,0.29217,0.32589,0.15645,1.22909,3.05601,2.91635,0.000602326,0.000602326,0.000602326
19,1666.69,0.70644,1.04617,1.73146,0.32223,0.38482,0.30625,0.15953,1.21312,3.2072,2.9058,0.000584286,0.000584286,0.000584286
20,1753.92,0.69843,1.014,1.70599,0.45264,0.28756,0.32586,0.15536,1.25024,3.1099,3.01593,0.000566247,0.000566247,0.000566247
21,1841.14,0.69443,1.0028,1.69679,0.42674,0.34952,0.35014,0.173,1.21866,3.28539,2.84131,0.000548207,0.000548207,0.000548207
22,1928.48,0.69466,1.02437,1.68933,0.35085,0.38184,0.30824,0.15339,1.25349,3.25602,2.97781,0.000530167,0.000530167,0.000530167
23,2015.55,0.67688,0.97678,1.66315,0.43509,0.30819,0.33638,0.161,1.24879,3.34577,2.90143,0.000512128,0.000512128,0.000512128
24,2102.81,0.67522,0.96451,1.65269,0.41857,0.39797,0.34633,0.17543,1.25181,3.06476,3.03049,0.000494088,0.000494088,0.000494088
25,2189.97,0.66798,0.93202,1.6352,0.40726,0.35186,0.3279,0.16935,1.25492,3.31574,3.07335,0.000476048,0.000476048,0.000476048
26,2277.14,0.66104,0.92604,1.62535,0.39554,0.33728,0.33637,0.17711,1.1983,3.31397,2.97837,0.000458009,0.000458009,0.000458009
27,2364.51,0.6443,0.89851,1.61927,0.39889,0.39261,0.37037,0.18427,1.24012,3.30101,2.97488,0.000439969,0.000439969,0.000439969
28,2451.69,0.63997,0.87056,1.58733,0.40543,0.36086,0.32163,0.16193,1.24946,3.25903,3.08853,0.000421929,0.000421929,0.000421929
29,2538.78,0.64095,0.83707,1.5998,0.38405,0.36166,0.32732,0.17019,1.21529,3.23528,2.948,0.00040389,0.00040389,0.00040389
30,2625.99,0.64007,0.86182,1.58669,0.40217,0.35632,0.3373,0.17976,1.1843,3.46358,2.86361,0.00038585,0.00038585,0.00038585
