epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.6641,0.9182,0.82141,1.71055,0.35475,0.36206,0.32671,0.16868,1.77823,3.01375,2.86442,0.000283593,0.000283593,0.000283593
2,181.926,0.99779,0.94839,1.8036,0.31122,0.38016,0.3188,0.16081,1.77222,2.81468,2.99457,0.000556577,0.000556577,0.000556577
3,269.545,1.0418,1.02036,1.83484,0.46441,0.36343,0.34328,0.17039,1.77259,2.59248,2.86199,0.000818314,0.000818314,0.000818314
4,356.936,1.07541,1.11385,1.89867,0.3996,0.3516,0.36231,0.17641,1.69562,2.57533,2.82556,0.000855044,0.000855044,0.000855044
5,444.296,1.08996,1.13175,1.90895,0.33265,0.38682,0.31651,0.14902,1.81063,2.6907,2.98929,0.000837058,0.000837058,0.000837058
6,531.617,1.07404,1.07733,1.88592,0.45271,0.32652,0.32234,0.16252,1.81036,2.7852,2.92832,0.000819073,0.000819073,0.000819073
7,618.917,1.06644,1.09236,1.88391,0.35936,0.34004,0.30137,0.14439,1.81965,2.88965,2.9022,0.000801087,0.000801087,0.000801087
8,706.066,1.03979,1.04565,1.86537,0.38911,0.35571,0.31859,0.16797,1.78841,2.66172,2.88485,0.000783102,0.000783102,0.000783102
9,793.576,1.04727,1.04291,1.85185,0.32405,0.3601,0.32911,0.16548,1.78916,2.66731,3.00712,0.000765116,0.000765116,0.000765116
10,880.828,1.05145,1.03253,1.88384,0.33231,0.35153,0.30867,0.15134,1.80578,2.6016,3.02902,0.000747131,0.000747131,0.000747131
11,968.033,1.03707,1.02863,1.87048,0.33983,0.39131,0.31681,0.15654,1.79976,2.70106,2.91186,0.000729145,0.000729145,0.000729145
12,1055.32,1.01838,1.00768,1.841,0.37734,0.3535,0.33561,0.17163,1.78664,2.68591,2.95103,0.00071116,0.00071116,0.00071116
13,1142.59,1.01396,0.97573,1.82579,0.37534,0.34363,0.32366,0.16811,1.76374,2.78179,3.01105,0.000693174,0.000693174,0.000693174
14,1229.7,0.98154,0.90643,1.79197,0.36075,0.36529,0.33224,0.16468,1.75429,2.78959,2.88365,0.000675189,0.000675189,0.000675189
15,1317.09,0.98704,0.91932,1.79614,0.42757,0.29659,0.32273,0.16693,1.81287,2.69971,3.09016,0.000657203,0.000657203,0.000657203
16,1404.15,0.97971,0.94489,1.81428,0.3642,0.37937,0.32702,0.16653,1.82571,3.03282,3.07358,0.000639218,0.000639218,0.000639218
17,1491.32,0.96066,0.87583,1.76882,0.39191,0.3618,0.31829,0.1511,1.78811,2.84962,3.06176,0.000621232,0.000621232,0.000621232
18,1578.46,0.96039,0.88908,1.73724,0.43881,0.36167,0.3577,0.16856,1.80183,2.65776,3.08592,0.000603247,0.000603247,0.000603247
19,1665.71,0.94599,0.85664,1.76833,0.41947,0.32457,0.32492,0.1601,1.78168,2.87345,2.97491,0.000585261,0.000585261,0.000585261
20,1752.92,0.94372,0.8319,1.74262,0.35924,0.37676,0.31498,0.16283,1.7903,2.96622,3.04449,0.000567276,0.000567276,0.000567276
21,1840.18,0.92279,0.80587,1.70356,0.41304,0.36359,0.32467,0.16554,1.81043,2.93681,3.03813,0.000549291,0.000549291,0.000549291
22,1927.4,0.92485,0.8392,1.70986,0.37901,0.35097,0.3162,0.14842,1.77279,2.83579,3.11286,0.000531305,0.000531305,0.000531305
23,2014.68,0.89238,0.7835,1.64437,0.44164,0.38386,0.36029,0.18703,1.81872,2.90921,3.12617,0.00051332,0.00051332,0.00051332
24,2102.16,0.88781,0.78443,1.66793,0.38148,0.39442,0.32552,0.15722,1.77594,2.87544,3.01666,0.000495334,0.000495334,0.000495334
25,2189.32,0.87285,0.77483,1.62977,0.39318,0.35467,0.33398,0.17417,1.72705,3.00366,3.03321,0.000477349,0.000477349,0.000477349
26,2276.49,0.86883,0.7529,1.65313,0.43236,0.37628,0.34087,0.17069,1.77902,2.98086,3.07335,0.000459363,0.000459363,0.000459363
27,2363.78,0.86947,0.75668,1.66893,0.41015,0.38193,0.33562,0.179,1.83746,3.0453,3.15432,0.000441378,0.000441378,0.000441378
28,2450.9,0.85934,0.75213,1.63834,0.40557,0.42582,0.37197,0.18084,1.78757,2.90815,3.07736,0.000423392,0.000423392,0.000423392
29,2538.07,0.83752,0.71345,1.60668,0.41242,0.37894,0.34107,0.17587,1.7874,3.13649,2.97294,0.000405407,0.000405407,0.000405407
30,2625.27,0.82794,0.69869,1.62381,0.44321,0.35901,0.3599,0.18642,1.81126,3.08371,3.02605,0.000387421,0.000387421,0.000387421
31,2712.34,0.8316,0.72742,1.62579,0.3954,0.36461,0.34563,0.17906,1.78958,3.04507,3.12527,0.000369436,0.000369436,0.000369436
32,2799.39,0.81794,0.70536,1.58391,0.44731,0.33789,0.33162,0.17289,1.807,3.12826,3.11945,0.00035145,0.00035145,0.00035145
33,2886.61,0.80503,0.68125,1.59003,0.46487,0.34443,0.34945,0.17862,1.8811,2.96679,3.28416,0.000333465,0.000333465,0.000333465
34,2973.71,0.79162,0.66183,1.56599,0.44652,0.3609,0.33961,0.17164,1.78054,3.04973,3.10908,0.000315479,0.000315479,0.000315479
35,3060.78,0.77724,0.63082,1.52578,0.42707,0.34979,0.36101,0.18214,1.8221,2.97879,3.14699,0.000297494,0.000297494,0.000297494
36,3147.97,0.77855,0.64584,1.52974,0.42453,0.33812,0.35368,0.18366,1.83109,2.94791,3.27603,0.000279508,0.000279508,0.000279508
37,3235.02,0.77117,0.63708,1.54256,0.47531,0.33598,0.36052,0.18168,1.83105,3.06972,3.19599,0.000261523,0.000261523,0.000261523
38,3321.92,0.76565,0.63214,1.51623,0.46761,0.36552,0.37199,0.17903,1.82936,2.97855,3.25102,0.000243537,0.000243537,0.000243537
39,3409.08,0.74763,0.63419,1.50861,0.45237,0.37781,0.37426,0.19417,1.82281,3.00957,3.17152,0.000225552,0.000225552,0.000225552
40,3496.19,0.74335,0.60633,1.51196,0.42691,0.367,0.3628,0.17164,1.8682,3.12853,3.24604,0.000207567,0.000207567,0.000207567
41,3583.58,0.60641,0.43407,1.36734,0.45102,0.38735,0.34429,0.17507,1.83457,3.05337,3.17551,0.000189581,0.000189581,0.000189581
42,3670.25,0.61022,0.43474,1.37666,0.43137,0.37799,0.34425,0.17697,1.8319,3.0716,3.20399,0.000171596,0.000171596,0.000171596
43,3756.77,0.59114,0.40876,1.36581,0.44867,0.36739,0.36019,0.18162,1.86875,2.98659,3.21409,0.00015361,0.00015361,0.00015361
44,3843.36,0.5703,0.39211,1.33231,0.47353,0.34417,0.36595,0.19366,1.82384,3.18639,3.18182,0.000135625,0.000135625,0.000135625
45,3930,0.56562,0.38465,1.338,0.4411,0.3505,0.35455,0.18583,1.81631,3.19789,3.24042,0.000117639,0.000117639,0.000117639
46,4016.55,0.55211,0.38204,1.29861,0.43934,0.32227,0.36585,0.19282,1.82589,3.23751,3.23339,9.96537e-05,9.96537e-05,9.96537e-05
47,4102.98,0.54189,0.37409,1.30019,0.46518,0.34439,0.36336,0.18729,1.80762,3.32636,3.18542,8.16682e-05,8.16682e-05,8.16682e-05
48,4189.57,0.5425,0.37901,1.28291,0.4569,0.35015,0.35998,0.18814,1.82169,3.21876,3.2023,6.36827e-05,6.36827e-05,6.36827e-05
49,4276.01,0.5435,0.37307,1.31349,0.47234,0.33767,0.36971,0.19107,1.82372,3.30461,3.18415,4.56972e-05,4.56972e-05,4.56972e-05
50,4362.46,0.52122,0.37098,1.26791,0.46092,0.32221,0.35343,0.19049,1.81158,3.43142,3.20207,2.77118e-05,2.77118e-05,2.77118e-05
