epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.855,0.92748,1.05587,1.60539,0.32917,0.42249,0.31132,0.15176,1.72281,3.37525,2.83148,0.000283984,0.000283984,0.000283984
2,182.22,0.95527,1.1258,1.64698,0.4189,0.35499,0.3222,0.15346,1.69571,3.36754,2.73382,0.000557332,0.000557332,0.000557332
3,270.127,1.0291,1.2736,1.72504,0.41047,0.37383,0.35515,0.1632,1.69479,3.01532,2.71176,0.000819404,0.000819404,0.000819404
4,357.612,1.07405,1.35058,1.7778,0.39437,0.41733,0.31478,0.16186,1.666,3.01811,2.66835,0.000854981,0.000854981,0.000854981
5,445.125,1.08025,1.34697,1.76589,0.32654,0.34715,0.29424,0.14782,1.69579,3.05588,2.63747,0.000836974,0.000836974,0.000836974
6,532.339,1.04392,1.30122,1.75621,0.43687,0.30689,0.3068,0.156,1.75964,3.2838,2.67497,0.000818968,0.000818968,0.000818968
7,619.982,1.04071,1.27622,1.73594,0.36473,0.40453,0.32908,0.15285,1.70912,2.89867,2.72098,0.000800962,0.000800962,0.000800962
8,707.227,1.01267,1.2237,1.72658,0.413,0.36307,0.31086,0.15555,1.71853,3.22774,2.76522,0.000782955,0.000782955,0.000782955
9,794.73,1.02655,1.21332,1.7203,0.39574,0.36344,0.32116,0.16873,1.71802,3.01247,2.83309,0.000764949,0.000764949,0.000764949
10,882.337,0.9988,1.193,1.70827,0.3629,0.38725,0.30293,0.14873,1.70377,2.99822,2.85417,0.000746943,0.000746943,0.000746943
11,969.655,1.01038,1.21366,1.71218,0.35977,0.40454,0.33048,0.17002,1.66304,3.08696,2.70677,0.000728936,0.000728936,0.000728936
12,1057.3,0.99579,1.15466,1.68962,0.40364,0.40376,0.34946,0.16829,1.72895,2.81293,2.80575,0.00071093,0.00071093,0.00071093
13,1144.76,0.97192,1.09965,1.68565,0.41267,0.34039,0.31052,0.15391,1.7226,3.17756,2.81997,0.000692923,0.000692923,0.000692923
14,1232.15,0.97699,1.14305,1.67728,0.38473,0.32546,0.30635,0.15987,1.72789,3.05142,2.84961,0.000674917,0.000674917,0.000674917
