epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0304,1.00071,0.82537,1.7147,0.38157,0.39725,0.34603,0.16649,1.95622,3.01239,3.1014,0.000271263,0.000271263,0.000271263
2,182.345,1.06192,0.9341,1.78378,0.48126,0.35321,0.35021,0.16706,1.84265,2.95582,2.88171,0.000532369,0.000532369,0.000532369
3,270.293,1.12797,1.03772,1.84755,0.44885,0.33719,0.33147,0.14745,1.98249,2.8743,2.949,0.000782708,0.000782708,0.000782708
4,357.703,1.15511,1.12836,1.8824,0.40224,0.35056,0.31107,0.15322,1.96872,2.95674,2.99706,0.000854998,0.000854998,0.000854998
5,445.12,1.17813,1.13518,1.93564,0.36634,0.27603,0.28421,0.134,1.93489,2.77279,2.85869,0.000836998,0.000836998,0.000836998
6,532.552,1.14663,1.09423,1.87532,0.40772,0.36927,0.34078,0.16273,1.95033,2.63111,2.90333,0.000818997,0.000818997,0.000818997
7,619.988,1.16335,1.10636,1.89704,0.3371,0.32206,0.27894,0.13696,1.98848,2.83774,3.0013,0.000800997,0.000800997,0.000800997
8,707.298,1.15463,1.12463,1.89088,0.36665,0.37603,0.31581,0.14885,1.93673,2.83237,2.90164,0.000782996,0.000782996,0.000782996
9,794.582,1.13054,1.0424,1.84766,0.34401,0.39915,0.33158,0.16172,1.97322,2.63911,3.03428,0.000764995,0.000764995,0.000764995
10,881.812,1.1283,1.02084,1.83996,0.31848,0.43536,0.31984,0.144,1.93687,2.63734,2.87861,0.000746995,0.000746995,0.000746995
11,969.166,1.10081,0.98835,1.82703,0.40628,0.3999,0.34052,0.16228,1.91009,2.6832,3.02306,0.000728994,0.000728994,0.000728994
12,1056.58,1.10683,1.01221,1.8673,0.34655,0.43812,0.33131,0.15457,1.99781,2.58449,3.14184,0.000710994,0.000710994,0.000710994
13,1143.86,1.07372,0.95238,1.81355,0.36914,0.3955,0.30859,0.14708,2.03853,2.87874,3.07161,0.000692993,0.000692993,0.000692993
14,1231.19,1.07466,0.9541,1.80061,0.41471,0.37495,0.35553,0.16703,1.91207,2.7262,3.00288,0.000674993,0.000674993,0.000674993
15,1319.03,1.02821,0.92021,1.75467,0.39116,0.39817,0.31763,0.15675,1.95061,2.87803,3.03466,0.000656992,0.000656992,0.000656992
16,1406.37,1.04595,0.91183,1.77088,0.42467,0.34575,0.32853,0.15928,1.99433,2.76003,3.13455,0.000638992,0.000638992,0.000638992
17,1493.72,1.0509,0.91808,1.78178,0.40515,0.37949,0.32361,0.15293,2.05927,2.91026,3.14914,0.000620991,0.000620991,0.000620991
18,1581.01,1.01988,0.85393,1.73089,0.38289,0.31026,0.30987,0.14846,2.02587,2.87517,3.12372,0.00060299,0.00060299,0.00060299
19,1668.52,0.99404,0.85737,1.69943,0.39684,0.33537,0.31202,0.15475,1.96734,2.84444,3.13129,0.00058499,0.00058499,0.00058499
20,1755.85,0.99934,0.86661,1.71243,0.43057,0.35707,0.36858,0.16171,2.03427,2.80765,3.22576,0.000566989,0.000566989,0.000566989
21,1843.28,0.98145,0.81162,1.69009,0.41994,0.3202,0.30291,0.14684,2.06819,2.90918,3.23621,0.000548989,0.000548989,0.000548989
22,1930.65,0.97706,0.82287,1.71476,0.34745,0.32879,0.30202,0.15025,1.98715,3.03151,3.11577,0.000530988,0.000530988,0.000530988
23,2018.09,0.95559,0.7999,1.64502,0.3919,0.34613,0.32703,0.15378,2.00346,3.16005,3.19406,0.000512988,0.000512988,0.000512988
24,2105.41,0.92807,0.77119,1.65722,0.38683,0.34016,0.32906,0.16171,1.9631,2.99801,3.14719,0.000494987,0.000494987,0.000494987
25,2192.74,0.9496,0.76768,1.6826,0.40472,0.31315,0.31906,0.15976,1.93669,3.15534,3.10078,0.000476986,0.000476986,0.000476986
26,2280.19,0.93479,0.76049,1.64962,0.38127,0.35005,0.33016,0.15844,1.98454,2.94136,3.16277,0.000458986,0.000458986,0.000458986
27,2367.67,0.92413,0.75088,1.62449,0.41242,0.31477,0.33518,0.17524,1.91744,3.1205,2.94874,0.000440985,0.000440985,0.000440985
28,2455.09,0.91439,0.74182,1.63161,0.40976,0.31846,0.31534,0.15714,1.99084,2.96367,3.16774,0.000422985,0.000422985,0.000422985
29,2542.47,0.90171,0.73073,1.62115,0.43257,0.32343,0.32901,0.16767,2.02478,3.36511,3.17734,0.000404984,0.000404984,0.000404984
30,2630.04,0.89487,0.73059,1.59237,0.40792,0.33552,0.31568,0.16138,1.94659,3.22177,3.1685,0.000386984,0.000386984,0.000386984
31,2717.23,0.87844,0.70778,1.58067,0.38243,0.33428,0.33182,0.15968,2.01951,3.25731,3.34132,0.000368983,0.000368983,0.000368983
32,2804.43,0.88809,0.71062,1.56078,0.44464,0.32718,0.34315,0.16424,2.02278,3.2086,3.29114,0.000350983,0.000350983,0.000350983
33,2891.86,0.86735,0.68899,1.57011,0.42818,0.33119,0.33699,0.16295,2.01211,3.1905,3.20657,0.000332982,0.000332982,0.000332982
34,2979.04,0.84648,0.67854,1.56537,0.41028,0.33249,0.3235,0.16825,1.99052,3.28849,3.31555,0.000314981,0.000314981,0.000314981
