epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.012,1.07976,1.02427,1.42916,0.3135,0.39874,0.3318,0.16194,2.03204,3.18491,2.52754,0.000231335,0.000231335,0.000231335
2,182.565,1.11899,1.08725,1.46458,0.49174,0.27674,0.32725,0.16802,2.00787,3.38312,2.43836,0.000454013,0.000454013,0.000454013
3,270.635,1.16711,1.21313,1.50949,0.32823,0.32547,0.29929,0.1533,1.98209,3.31907,2.32206,0.000667512,0.000667512,0.000667512
4,358.09,1.21875,1.26078,1.55606,0.40623,0.31501,0.32434,0.16085,2.02396,2.98167,2.42584,0.00085502,0.00085502,0.00085502
5,445.24,1.23582,1.35174,1.58236,0.33992,0.3543,0.31994,0.14751,2.08566,3.018,2.49529,0.000837026,0.000837026,0.000837026
6,532.588,1.2371,1.31695,1.59176,0.33259,0.37406,0.27714,0.13715,2.06864,3.04327,2.51593,0.000819033,0.000819033,0.000819033
7,619.819,1.23269,1.30327,1.60534,0.4243,0.33271,0.32097,0.15352,2.08069,2.99341,2.51394,0.000801039,0.000801039,0.000801039
8,707.073,1.24333,1.3353,1.57931,0.38596,0.34988,0.31724,0.15317,2.04339,2.93156,2.46704,0.000783046,0.000783046,0.000783046
9,794.571,1.21501,1.28408,1.59425,0.35897,0.34664,0.32025,0.15849,2.07569,3.04361,2.47671,0.000765052,0.000765052,0.000765052
10,881.917,1.19964,1.1962,1.55976,0.42143,0.39855,0.34509,0.17007,2.03691,3.13248,2.50542,0.000747059,0.000747059,0.000747059
11,969.375,1.18105,1.16653,1.54723,0.30275,0.35403,0.28347,0.1376,2.10195,3.26792,2.5997,0.000729065,0.000729065,0.000729065
12,1056.74,1.17875,1.19389,1.53756,0.32214,0.40212,0.33604,0.15304,2.06748,3.02735,2.47378,0.000711072,0.000711072,0.000711072
13,1144.13,1.15093,1.12405,1.51647,0.38859,0.32619,0.34035,0.16905,2.08673,3.28284,2.46609,0.000693078,0.000693078,0.000693078
14,1231.26,1.14713,1.08878,1.51411,0.34772,0.33517,0.29524,0.14142,2.12203,3.48961,2.59444,0.000675085,0.000675085,0.000675085
15,1318.65,1.12481,1.07445,1.52019,0.36717,0.33548,0.31969,0.14791,2.07645,3.12764,2.4927,0.000657091,0.000657091,0.000657091
16,1406.03,1.14351,1.10491,1.50095,0.43526,0.32618,0.32647,0.16969,1.99001,3.23327,2.48565,0.000639098,0.000639098,0.000639098
17,1493.29,1.10028,1.02814,1.48509,0.45062,0.34101,0.3384,0.15442,2.1038,2.9559,2.59286,0.000621104,0.000621104,0.000621104
18,1580.6,1.08712,1.00663,1.47167,0.37876,0.38876,0.34413,0.1622,2.10734,3.18416,2.60859,0.000603111,0.000603111,0.000603111
19,1667.86,1.0723,1.01246,1.46746,0.40069,0.30508,0.31584,0.15817,2.018,3.41257,2.51457,0.000585117,0.000585117,0.000585117
20,1755.05,1.07533,1.00073,1.46783,0.43333,0.34885,0.31568,0.16242,1.97244,3.49869,2.42177,0.000567124,0.000567124,0.000567124
21,1842.45,1.06942,0.96898,1.45197,0.35978,0.34067,0.30828,0.14635,2.0358,3.53119,2.50324,0.000549131,0.000549131,0.000549131
22,1929.72,1.0533,0.97735,1.4387,0.38057,0.35183,0.31645,0.15766,2.09064,3.34989,2.59048,0.000531137,0.000531137,0.000531137
23,2016.84,1.03481,0.93162,1.4191,0.50197,0.33321,0.34108,0.17698,1.9789,3.28461,2.45024,0.000513144,0.000513144,0.000513144
24,2104.33,1.01867,0.90642,1.41976,0.41511,0.36923,0.32595,0.16705,2.03496,3.34316,2.47134,0.00049515,0.00049515,0.00049515
25,2191.7,1.00676,0.9131,1.41535,0.38373,0.38715,0.33486,0.17317,2.0027,3.41407,2.54411,0.000477157,0.000477157,0.000477157
26,2278.84,0.97397,0.87463,1.38159,0.36809,0.37835,0.33374,0.15915,2.03395,3.26316,2.56378,0.000459163,0.000459163,0.000459163
27,2366.07,1.0023,0.89688,1.4071,0.43246,0.36119,0.34076,0.16908,2.07383,3.38374,2.59444,0.00044117,0.00044117,0.00044117
28,2453.26,0.97271,0.85727,1.36509,0.36811,0.38141,0.32926,0.17056,1.97194,3.43512,2.47983,0.000423176,0.000423176,0.000423176
29,2540.58,0.97188,0.85546,1.36558,0.34046,0.33839,0.32643,0.16447,2.00671,3.45921,2.50898,0.000405183,0.000405183,0.000405183
30,2627.97,0.95525,0.85982,1.35892,0.39377,0.34243,0.3313,0.16517,2.02232,3.3662,2.56437,0.000387189,0.000387189,0.000387189
31,2715.24,0.95622,0.8321,1.3648,0.45084,0.33458,0.34739,0.17048,1.99644,3.63033,2.60252,0.000369196,0.000369196,0.000369196
32,2802.47,0.93317,0.80657,1.33603,0.41664,0.35759,0.32725,0.16723,2.02152,3.65013,2.58226,0.000351202,0.000351202,0.000351202
