epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.5917,0.98135,1.0473,1.73499,0.42642,0.32901,0.32649,0.16094,1.85299,3.41179,3.00956,0.000276546,0.000276546,0.000276546
2,181.976,1.03268,1.1605,1.80706,0.34026,0.39489,0.31467,0.15738,1.83895,3.19067,3.00919,0.000542725,0.000542725,0.000542725
3,269.553,1.1038,1.26503,1.88788,0.38378,0.36726,0.35023,0.17297,1.88084,3.00251,3.0615,0.000797915,0.000797915,0.000797915
4,356.839,1.15285,1.37076,1.94094,0.39172,0.3451,0.31882,0.16312,1.91733,3.14225,3.16512,0.000854937,0.000854937,0.000854937
5,444.176,1.13529,1.35118,1.91949,0.34605,0.40942,0.3151,0.15469,1.827,3.09138,2.8824,0.000836916,0.000836916,0.000836916
6,531.466,1.11783,1.33176,1.91601,0.42261,0.32555,0.3039,0.14285,1.88643,3.3315,2.94169,0.000818895,0.000818895,0.000818895
7,618.686,1.12432,1.29721,1.91632,0.30837,0.41252,0.299,0.13962,1.86082,3.28014,3.10892,0.000800874,0.000800874,0.000800874
8,706.073,1.12697,1.31541,1.90104,0.38011,0.41477,0.32063,0.1661,1.80488,3.29284,2.92141,0.000782854,0.000782854,0.000782854
9,793.37,1.0921,1.24409,1.87684,0.39985,0.35683,0.31579,0.15444,1.94299,3.17893,3.2516,0.000764833,0.000764833,0.000764833
10,880.663,1.07358,1.19976,1.88384,0.34936,0.35998,0.2995,0.13852,1.90824,3.33098,3.22881,0.000746812,0.000746812,0.000746812
11,968.03,1.07916,1.20465,1.85515,0.35976,0.34964,0.31775,0.15479,1.87069,3.36398,2.97609,0.000728791,0.000728791,0.000728791
12,1055.21,1.06385,1.17819,1.83968,0.31537,0.42664,0.34022,0.16714,1.8897,3.25473,3.06738,0.00071077,0.00071077,0.00071077
13,1142.39,1.05702,1.13374,1.85781,0.36704,0.33747,0.32499,0.15184,1.87876,3.40655,3.05157,0.000692749,0.000692749,0.000692749
14,1229.59,1.04575,1.14539,1.83383,0.39924,0.38256,0.33684,0.16822,1.83396,3.25056,3.0338,0.000674728,0.000674728,0.000674728
15,1316.9,1.03014,1.09131,1.82988,0.32492,0.3572,0.29954,0.15515,1.88185,3.37959,3.09029,0.000656707,0.000656707,0.000656707
16,1404.37,1.0257,1.07518,1.80619,0.36468,0.29587,0.29305,0.14748,1.87294,3.45113,3.03927,0.000638686,0.000638686,0.000638686
17,1491.52,1.0099,1.07365,1.79893,0.3749,0.36674,0.3412,0.16468,1.83284,3.14728,3.01747,0.000620665,0.000620665,0.000620665
18,1578.67,0.98219,1.01369,1.74397,0.38466,0.33396,0.33737,0.16154,1.80224,3.41772,2.94857,0.000602644,0.000602644,0.000602644
19,1665.97,0.98213,1.01183,1.76707,0.41339,0.35892,0.32721,0.1571,1.89895,3.49679,3.18386,0.000584623,0.000584623,0.000584623
20,1753.09,0.96288,0.98785,1.71751,0.42968,0.33748,0.35693,0.16693,1.87992,3.46167,3.149,0.000566602,0.000566602,0.000566602
21,1840.31,0.95543,0.99528,1.71828,0.39585,0.33763,0.33329,0.16994,1.8956,3.61144,3.13541,0.000548581,0.000548581,0.000548581
22,1927.41,0.96395,0.98576,1.71669,0.39717,0.37544,0.34515,0.17095,1.92728,3.44966,3.15765,0.000530561,0.000530561,0.000530561
23,2014.45,0.94349,0.96183,1.7131,0.40451,0.34061,0.34604,0.162,1.88502,3.52281,3.06497,0.00051254,0.00051254,0.00051254
24,2101.7,0.92776,0.91837,1.68535,0.39704,0.35394,0.34872,0.17345,1.86255,3.59278,3.04812,0.000494519,0.000494519,0.000494519
25,2188.91,0.92495,0.92725,1.68751,0.37666,0.31528,0.32521,0.15398,1.88752,3.56134,3.12298,0.000476498,0.000476498,0.000476498
26,2276.05,0.9003,0.86609,1.63503,0.36752,0.3405,0.33226,0.16374,1.93212,3.71461,3.28036,0.000458477,0.000458477,0.000458477
27,2363.3,0.90908,0.9255,1.67784,0.39935,0.32046,0.32828,0.17207,1.87025,3.7505,3.09213,0.000440456,0.000440456,0.000440456
28,2450.51,0.88287,0.86418,1.62848,0.40562,0.35063,0.32672,0.15493,1.91357,3.70395,3.16835,0.000422435,0.000422435,0.000422435
29,2529.89,0.86884,0.82096,1.61673,0.42668,0.32204,0.32227,0.16921,1.8761,3.79753,3.11817,0.000404414,0.000404414,0.000404414
30,2609.18,0.86571,0.83985,1.61025,0.45739,0.32195,0.31675,0.15956,1.91175,3.82413,3.19146,0.000386393,0.000386393,0.000386393
31,2688.84,0.86138,0.83727,1.59233,0.43217,0.35757,0.34397,0.16194,1.87588,3.66728,3.09681,0.000368372,0.000368372,0.000368372
32,2768.32,0.85193,0.83056,1.60449,0.3778,0.33257,0.33857,0.16564,1.9034,3.7878,3.18821,0.000350351,0.000350351,0.000350351
33,2848.06,0.84752,0.83137,1.59384,0.40716,0.38184,0.35194,0.17681,1.86013,3.77182,3.1028,0.00033233,0.00033233,0.00033233
34,2927.86,0.83988,0.82444,1.58461,0.40639,0.33222,0.32513,0.16041,1.86819,3.86744,3.22255,0.000314309,0.000314309,0.000314309
35,3007.13,0.83933,0.7917,1.57445,0.44309,0.3443,0.33098,0.16752,1.87733,3.81892,3.18368,0.000296289,0.000296289,0.000296289
36,3087.78,0.81568,0.78072,1.56408,0.43164,0.35757,0.35929,0.19188,1.84162,3.94996,3.10088,0.000278268,0.000278268,0.000278268
37,3174.99,0.80089,0.75113,1.5581,0.40878,0.34058,0.3449,0.17795,1.84877,3.95694,3.06436,0.000260247,0.000260247,0.000260247
38,3262.19,0.80651,0.77811,1.5374,0.44909,0.29883,0.32792,0.17277,1.87411,4.19806,3.11939,0.000242226,0.000242226,0.000242226
39,3349.24,0.78869,0.75008,1.52299,0.4336,0.35989,0.35119,0.17244,1.90228,3.8331,3.16305,0.000224205,0.000224205,0.000224205
40,3436.27,0.78487,0.74437,1.52596,0.39365,0.33087,0.33458,0.16909,1.84528,4.09625,3.13493,0.000206184,0.000206184,0.000206184
41,3523.49,0.65259,0.54464,1.40913,0.38,0.28567,0.31269,0.15763,1.96644,3.93031,3.39575,0.000188163,0.000188163,0.000188163
