epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1358,1.06399,0.90578,1.70024,0.38411,0.39409,0.35079,0.17796,2.02717,2.92056,2.99797,0.000302333,0.000302333,0.000302333
2,169.288,1.13517,0.98743,1.79328,0.41506,0.36233,0.34928,0.174,2.04883,2.88072,2.97085,0.000593347,0.000593347,0.000593347
3,248.784,1.22134,1.14357,1.87042,0.32458,0.41751,0.32678,0.15208,2.10623,2.92858,2.99866,0.000872363,0.000872363,0.000872363
4,328.329,1.25771,1.18628,1.89411,0.40905,0.33107,0.3161,0.15741,2.03549,2.85895,2.924,0.000855005,0.000855005,0.000855005
5,409.125,1.24892,1.2213,1.90415,0.37083,0.3464,0.31767,0.14647,2.08112,2.92258,2.90604,0.000837007,0.000837007,0.000837007
6,488.616,1.22454,1.17881,1.8922,0.3705,0.37284,0.29578,0.13573,2.17869,2.99051,3.03959,0.000819009,0.000819009,0.000819009
7,567.982,1.21077,1.13727,1.88768,0.47122,0.38633,0.35845,0.16873,2.11156,2.79904,2.94541,0.000801011,0.000801011,0.000801011
8,647.746,1.20015,1.09408,1.84122,0.36432,0.40081,0.33329,0.16311,2.09477,2.88379,3.03929,0.000783013,0.000783013,0.000783013
9,727.099,1.19349,1.09389,1.84415,0.41605,0.34434,0.32434,0.15743,2.12012,2.99108,3.06493,0.000765014,0.000765014,0.000765014
10,808.104,1.18278,1.08779,1.84597,0.36765,0.39436,0.32309,0.16398,2.09645,2.77171,3.0032,0.000747016,0.000747016,0.000747016
11,888.764,1.17919,1.06762,1.82097,0.43947,0.33525,0.33624,0.15832,2.12485,2.96045,2.97959,0.000729018,0.000729018,0.000729018
12,968.699,1.14116,1.02747,1.8079,0.41917,0.35183,0.34288,0.16769,2.10131,2.9092,2.99967,0.00071102,0.00071102,0.00071102
13,1048.14,1.15904,1.00844,1.81833,0.39269,0.32686,0.31829,0.15819,2.05701,3.02378,2.97167,0.000693022,0.000693022,0.000693022
14,1127.65,1.12572,0.99124,1.7793,0.35625,0.38811,0.34387,0.17036,2.01825,2.85903,2.95552,0.000675023,0.000675023,0.000675023
15,1207.1,1.08316,0.91802,1.75867,0.3548,0.32444,0.31989,0.16326,2.0583,2.98381,2.95668,0.000657025,0.000657025,0.000657025
16,1286.69,1.09258,0.95286,1.76039,0.4264,0.32958,0.33476,0.15618,2.15423,2.93023,3.17057,0.000639027,0.000639027,0.000639027
17,1366.05,1.09285,0.95236,1.75635,0.3496,0.31633,0.31212,0.16255,2.03158,3.10791,2.95151,0.000621029,0.000621029,0.000621029
18,1445.36,1.06096,0.87988,1.70511,0.37361,0.33647,0.32412,0.16409,2.03628,3.21806,2.99935,0.000603031,0.000603031,0.000603031
19,1524.99,1.05554,0.89188,1.73598,0.39471,0.38321,0.34781,0.16621,2.05007,3.14204,2.94382,0.000585032,0.000585032,0.000585032
20,1604.49,1.03758,0.86504,1.69808,0.44023,0.31478,0.32662,0.1521,2.05839,3.06346,2.93117,0.000567034,0.000567034,0.000567034
21,1683.83,1.03719,0.89847,1.6991,0.41155,0.35948,0.3309,0.16698,2.09816,3.19327,3.04855,0.000549036,0.000549036,0.000549036
22,1763.37,1.0329,0.87977,1.69441,0.3282,0.36559,0.30583,0.14915,2.1323,3.27878,3.16578,0.000531038,0.000531038,0.000531038
23,1842.89,1.0167,0.83632,1.68076,0.38508,0.33657,0.31707,0.15501,2.12099,3.30724,3.17545,0.00051304,0.00051304,0.00051304
24,1922.25,0.99715,0.82718,1.65702,0.42725,0.35999,0.35732,0.16484,2.07093,3.17882,3.04862,0.000495041,0.000495041,0.000495041
