epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9472,1.03268,0.97137,1.6472,0.36842,0.43125,0.34096,0.17363,1.90535,3.27033,2.84826,0.000278793,0.000278793,0.000278793
2,182.214,1.08437,1.0679,1.72065,0.40812,0.38629,0.3354,0.16167,1.92557,3.16167,2.86505,0.00054714,0.00054714,0.00054714
3,269.748,1.15027,1.18899,1.77281,0.43058,0.32078,0.35337,0.1623,1.97476,2.98814,2.88727,0.000804415,0.000804415,0.000804415
4,356.92,1.20811,1.28299,1.83414,0.36894,0.403,0.30994,0.14925,1.98412,3.03744,2.9592,0.000854964,0.000854964,0.000854964
5,444.211,1.19272,1.23225,1.8316,0.37452,0.33039,0.30214,0.14431,1.92737,3.00916,2.79339,0.000836952,0.000836952,0.000836952
6,531.409,1.1717,1.24011,1.80085,0.39436,0.40695,0.33451,0.16945,1.92704,3.08709,2.71505,0.00081894,0.00081894,0.00081894
7,618.61,1.16554,1.20536,1.80699,0.45801,0.32483,0.3503,0.1708,1.86624,2.81908,2.71694,0.000800928,0.000800928,0.000800928
8,705.979,1.17437,1.16922,1.80548,0.42986,0.3594,0.32665,0.16248,1.90905,3.12516,2.81619,0.000782916,0.000782916,0.000782916
9,793.211,1.17692,1.16973,1.80003,0.39422,0.33388,0.30896,0.15245,1.96796,2.81764,2.9088,0.000764904,0.000764904,0.000764904
10,880.384,1.1206,1.1172,1.78509,0.26984,0.399,0.29162,0.13133,2.00124,2.85419,2.96922,0.000746892,0.000746892,0.000746892
11,967.722,1.13094,1.12874,1.77166,0.43174,0.36755,0.33411,0.15384,1.96904,3.06423,2.92093,0.00072888,0.00072888,0.00072888
12,1055.17,1.12581,1.09669,1.75375,0.4404,0.28737,0.31546,0.15041,2.00752,3.18168,2.99558,0.000710868,0.000710868,0.000710868
13,1142.51,1.10531,1.05521,1.74495,0.37745,0.34919,0.28568,0.1286,1.95402,3.24953,2.95006,0.000692856,0.000692856,0.000692856
14,1229.98,1.08751,1.06593,1.73224,0.36485,0.35238,0.30867,0.14714,1.99382,3.23728,3.02199,0.000674844,0.000674844,0.000674844
